index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12
Boneshade;78;73;lich wand;Necro Skills;;2;2;Cast Speed %;;25;25;Class Skill;Teeth;4;5;Class Skill;Bone Armor;4;5;Class Skill;Bone Spear;2;3;Class Skill;Bone Spirit;1;2;Class Skill;91;2;3;;;;;;;;;;;;;;;;;;;;
Flamebellow;73;66;balrog blade;Damage %;;170;240;dmg-fire;;233;482;fireskill;;3;3;abs-fire%;;20;30;Hit-Skill;Firestorm;12;16;Strength;;10;20;Vitality;;5;10;Other Skill;62;12;18;;;;;;;;;;;;;;;;
Fathom;75;68;dimensional shard;Sorceress Skills;;3;3;extra-cold;;15;30;Cast Speed %;;20;20;res-fire;;25;40;res-ltng;;25;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wolfhowl;79;73;fury visor;Armor Class %;;120;150;Class Skill Tab;14;2;3;Strength;;8;15;Dexterity;;8;15;Vitality;;8;15;Other Skill;Wearwolf;3;6;Charges;Summon Fenris;18;15;Other Skill;Shape Shifting;3;6;Other Skill;Feral Rage;3;6;;;;;;;;;;;;
Spirit Ward;70;63;ward;Armor Class %;;130;180;abs-cold;;6;11;All Resists;;30;40;block;;20;30;block2;;25;25;Gethit-Skill;Fade;5;8;;;;;;;;;;;;;;;;;;;;;;;;
Kira's Guardian;79;71;tiara;Armor Class;;50;120;All Resists;;50;70;nofreeze;;1;1;Hit Recovery %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ormus' Robes;77;69;dusk shroud;Armor Class;;10;20;Cast Speed %;;20;20;extra-fire;;10;15;extra-cold;;10;15;extra-ltng;;10;15;regen-mana;;10;15;skill-rand;3;36;60;;;;;;;;;;;;;;;;;;;;
Gheed's Fortune;65;57;charm;Magic Find %;;20;40;Gold Find %;;80;160;Reduce Prices;;10;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stormlash;80;76;scourge;Damage %;;240;300;Attack Speed %;;30;30;Hit-Skill;Static Field;15;10;Hit-Skill;Tornado;20;18;dmg-ltng;;1;473;Lightning Thorns;;30;30;Crushing Blow;;33;33;abs-ltng;;3;9;;;;;;;;;;;;;;;;
Halaberd's Reign;79;71;conqueror crown;Armor Class %;;140;170;Class Skill Tab;13;1;1;Barbarian Skills;;2;2;Hit Recovery %;;20;20;Replenish Life;;15;23;Class Skill;Battle Orders;1;2;Class Skill;Battle Command;1;2;;;;;;;;;;;;;;;;;;;;
Spike Thorn;72;65;blade barrier;Armor Class %;;120;150;thorns/lvl;11;;;Extra Durability;;250;250;Hit Recovery %;;30;30;Reduce Dmg %;;15;20;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Dracul's Grasp;78;70;vampirebone gloves;Armor Class %;;90;120;Lifesteal;;7;10;Openwounds;;25;25;Hit-Skill;Life Tap;5;10;Life per Kill;;5;10;Strength;;10;15;;;;;;;;;;;;;;;;;;;;;;;;
Frostwind;72;65;cryptic sword;Damage %;;180;230;Freeze Duration;;4;4;half-freeze;;1;1;dmg-cold;150;237;486;Attack Speed %;;25;25;abs-cold%;;7;15;Other Skill;Ice Blast;7;14;;;;;;;;;;;;;;;;;;;;
Templar's Might;76;68;sacred armor;Armor Class %;;170;220;Hit Recovery %;;20;20;Armor vs Missile;;250;300;Stamina Points;;40;50;Strength;;10;15;Vitality;;10;15;Class Skill Tab;10;1;2;;;;;;;;;;;;;;;;;;;;
Eschuta's temper;74;67;eldritch orb;Sorceress Skills;;1;3;Cast Speed %;;40;40;extra-fire;;10;20;extra-ltng;;10;20;Energy;;20;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Firelizard's Talons;69;62;feral claws;Damage %;;200;270;Attack Speed %;;15;15;Class Skill Tab;20;1;3;dmg-fire;;236;480;res-fire;;40;70;Class Skill;Wake of Fire Sentry;1;2;Class Skill;Venomous Retaliation;1;2;;;;;;;;;;;;;;;;;;;;
Sandstorm Trek;67;59;scarabshell boots;Armor Class %;;140;170;Faster Movement %;;20;20;Hit Recovery %;;20;20;stam/lvl;8;;;stamdrain;;50;50;res-pois;;40;70;rep-dur;5;;;Strength;;10;15;Vitality;;10;15;;;;;;;;;;;;
Marrowwalk;68;61;boneweave boots;Armor Class %;;170;200;Faster Movement %;;20;20;Charges;85;13;33;Charges;Life Tap;10;12;regen-stam;;10;10;regen-mana;;10;10;half-freeze;;1;1;Strength;;10;20;Dexterity;;17;17;Class Skill;Skeleton Mastery;1;2;;;;;;;;
Heaven's Light;64;56;mighty scepter;Damage %;;250;300;Attack Speed %;;20;20;reduce-ac;;33;33;Light Radius;;3;3;demon-heal;;15;20;Crushing Blow;;33;33;Sockets;;1;3;Paladin Skills;;2;3;;;;;;;;;;;;;;;;
Arachnid Mesh;80;74;spiderweb sash;Armor Class %;;90;120;Cast Speed %;;20;20;Charges;Venom;11;3;All Skills;;1;1;Slow Target %;;10;10;Mana %;;5;5;;;;;;;;;;;;;;;;;;;;;;;;
Nosferatu's Coil;63;47;vampirefang belt;Strength;;15;15;Mana per Kill;;2;2;Slow Target %;;10;10;Lifesteal;;5;7;Attack Speed %;;10;10;Light Radius;;-3;-3;;;;;;;;;;;;;;;;;;;;;;;;
Metalgrid;79;75;amulet;Armor Class;;300;350;All Resists;;25;35;Attack Rating;;400;450;Charges;IronGolem;11;22;Charges;Iron Maiden;20;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verdugo's Hearty Cord;66;58;mithril coil;Armor Class %;;90;140;Vitality;;30;40;Stamina Points;;100;120;Hit Recovery %;;10;10;Reduce Dmg %;;10;15;Replenish Life;;10;13;;;;;;;;;;;;;;;;;;;;;;;;
Carrion Wind;63;56;ring;Armor vs Missile;;100;160;Lifesteal;;6;9;res-pois;;55;55;Gethit-Skill;Poison Nova;10;10;Charges;Plague Poppy;15;21;Hit-Skill;Twister;8;13;dmg-to-mana;;10;10;;;;;;;;;;;;;;;;;;;;
Giantskull;68;60;bone visage;Armor Class;;250;320;Strength;;25;35;Crushing Blow;;10;10;Sockets;;1;2;Knockback;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ironward;63;56;caduceus;Damage %;;240;290;Slow Target %;;25;25;Attack Bonus %;;150;200;Attack Speed %;;10;10;dmg-mag;;80;240;Reduce Dmg;;4;7;dmg;;40;85;Class Skill Tab;9;2;4;Crushing Blow;;33;33;;;;;;;;;;;;
Annihilus;102;65;charm;All Skills;;1;1;all-stats;;10;20;All Resists;;10;20;Extra XP;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arioc's Needle;79;75;hyperion spear;Damage %;;180;230;dmg-pois;250;403;403;Deadly Strike;;50;50;Ignore Armor;;1;1;All Skills;;2;4;Attack Speed %;;30;30;;;;;;;;;;;;;;;;;;;;;;;;
Cranebeak;66;58;war spike;Damage %;;240;300;dmg-ltng;;1;305;Attack Speed %;;40;40;reduce-ac;;25;25;Magic Find %;;20;50;Charges;Raven;15;8;;;;;;;;;;;;;;;;;;;;;;;;
Nord's Tenderizer;70;63;truncheon;Damage %;;270;330;Freeze Duration;;2;4;Attack Speed %;;25;25;Charges;Blizzard;12;16;Attack Bonus %;;150;180;abs-cold%;;5;15;dmg-cold;125;205;455;;;;;;;;;;;;;;;;;;;;
Earthshifter;71;64;thunder maul;Damage %;;250;300;Hit-Skill;Eruption;25;14;Crushing Blow;;33;33;Attack Speed %;;10;10;Charges;Volcano;30;14;Class Skill Tab;17;7;7;Cast Speed %;;10;10;;;;;;;;;;;;;;;;;;;;
Wraithflight;78;70;ghost glaive;Damage %;;150;190;rep-quant;40;;;Lifesteal;;9;13;Mana per Kill;;15;15;ethereal;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bonehew;67;59;ogre axe;Damage %;;270;320;Attack Speed %;;30;30;Charges;Corpse Explosion;30;14;Hit-Skill;Bone Spear;50;16;Prevent Heal;;1;1;Sockets;;2;2;;;;;;;;;;;;;;;;;;;;;;;;
Ondal's Wisdom;68;61;elder staff;Cast Speed %;;45;45;Energy;;40;50;All Skills;;2;4;Armor Class;;450;550;Extra XP;;5;5;red-mag;;5;8;;;;;;;;;;;;;;;;;;;;;;;;
The Reedeemer;74;67;mighty scepter;Damage %;;250;300;Dmg % to Demons;;200;250;Paladin Skills;;2;2;Reduce Req %;;-60;-60;Class Skill;Redemption;2;4;Class Skill;Holy Bolt;2;4;Light Radius;;3;3;reduce-ac;;33;33;dmg;;60;120;;;;;;;;;;;;
Headhunter's Glory;77;69;troll nest;Armor Class;;320;420;Armor vs Missile;;300;350;res-pois;;30;40;Sockets;;1;3;res-fire;;20;30;Life per Kill;;5;7;;;;;;;;;;;;;;;;;;;;;;;;
Steelrend;72;65;ogre gauntlets;Armor Class;;170;210;Strength;;15;20;Damage %;;30;60;Crushing Blow;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rainbow Facet;10;15;jewel;dmg-ltng;;1;74;pierce-ltng;;3;5;extra-ltng;;3;5;death-skill;Chain Lightning;100;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rainbow Facet;10;15;jewel;dmg-cold;3;24;38;pierce-cold;;3;5;extra-cold;;3;5;death-skill;Blizzard;100;37;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rainbow Facet;10;15;jewel;dmg-fire;;17;45;pierce-fire;;3;5;extra-fire;;3;5;death-skill;Meteor;100;31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rainbow Facet;10;15;jewel;dmg-pois;50;187;187;pierce-pois;;3;5;extra-pois;;3;5;death-skill;Poison Nova;100;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rainbow Facet;10;15;jewel;dmg-ltng;;1;74;pierce-ltng;;3;5;extra-ltng;;3;5;levelup-skill;Nova;100;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rainbow Facet;10;15;jewel;dmg-cold;3;24;38;pierce-cold;;3;5;extra-cold;;3;5;levelup-skill;Frost Nova;100;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rainbow Facet;10;15;jewel;dmg-fire;;17;45;pierce-fire;;3;5;extra-fire;;3;5;levelup-skill;Blaze;100;29;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rainbow Facet;10;15;jewel;dmg-pois;50;187;187;pierce-pois;;3;5;extra-pois;;3;5;levelup-skill;Venom;100;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hellfire Torch;102;69;charm;randclassskill;;0;6;all-stats;;10;20;All Resists;;10;20;Light Radius;;8;8;Hit-Skill;197;5;10;Charges;Hydra;10;30;;;;;;;;;;;;;;;;;;;;;;;;
Rixots Sharp;4;3;Short Sword;dmg-max;;5;5;Attack Bonus %;;15;15;Light Radius;;1;1;Deadly Strike;;25;25;dmg-ac;;-10;-10;Damage %;;100;100;;;;;;;;;;;;;;;;;;;;;;;;
Pelter`s Lunacy;4;3;Buckler;Armor Class;;30;30;Strength;;10;15;Vitality;;10;10;ethereal;;1;1;Armor Class %;;15;25;block;;5;10;block2;;20;20;rep-dur;10;;;;;;;;;;;;;;;;;;
Demon Basher;4;4;Club;res-cold;;20;20;res-pois;;10;10;Knockback;;1;1;Dmg % to Demons;;25;50;att-demon;;25;50;Damage %;;50;70;;;;;;;;;;;;;;;;;;;;;;;;
Dead Man`s Cap;4;3;Cap;Hitpoints;;-10;-10;Dmg % to Undead;;25;50;att-undead;;25;50;Armor Class;;-10;-10;res-pois;;15;25;res-pois-len;;25;25;;;;;;;;;;;;;;;;;;;;;;;;
Goll;4;3;Dagger;dmg-min;;1;1;dmg-max;;10;10;Gold Find %;;100;100;Hitpoints;;-5;-5;;;;;;;0;0;;;;*;;;;;;;;;;;;;;;;;;;;
Raven`s Frost;6;4;Hand Axe;Dexterity;;5;8;Blind Target;;2;2;dmg-cold;;2;6;Damage %;;50;80;Hit-Skill;Twister;10;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nature`s Wand;6;5;Wand;Druid Skills;;1;1;Life per Kill;;1;3;dmg-pois;75;30;30;Light Radius;;2;2;Energy;;10;10;Replenish Life;;2;4;;;;;;;;;;;;;;;;;;;;;;;;
Undead`s Bane;7;5;Scepter;Paladin Skills;;1;1;block;;10;10;res-pois;;20;20;Replenish Life;;2;3;att-undead;;50;80;Damage %;;50;80;;;;;;;;;;;;;;;;;;;;;;;;
Thorned Club;8;6;Spiked Club;Thorns;;2;3;Damage %;;25;50;aura;Thorns;1;1;Reduce Dmg;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Light`s Source;7;5;Short Staff;Light Radius;;1;5;Damage %;;30;60;dmg-ltng;;1;6;Attack Speed %;;15;15;Armor Class;;25;25;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;;;;;
Colenzo`s Grips;6;4;Leather Gloves;Lifesteal;;2;3;res-fire;;10;10;rip;;1;1;Hitpoints;;10;20;Armor Class;;5;15;Attack Speed %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;
Frost Spur`s;7;5;Leather Boots;res-cold-max;;10;10;Hitpoints;;10;10;dmg-cold;;2;4;Armor Class;;15;20;res-cold;;20;20;Armor Class %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;
Lights Spur;7;5;Leather Boots;res-ltng-max;;10;10;Faster Movement %;;15;15;dmg-ltng;;1;6;Armor Class;;5;15;res-ltng;;25;25;Armor Class %;;5;15;;;;;;;;;;;;;;;;;;;;;;;;
Venom`s Spur;6;4;Leather Boots;res-pois-max;;10;10;res-pois-len;;25;25;dmg-pois;50;20;20;Armor Class;;10;10;res-pois;;15;15;Armor Class %;;10;15;;;;;;;;;;;;;;;;;;;;;;;;
Cherub`s Cutter;10;7;Scimitar;res-ltng;;15;15;Damage %;;30;90;Light Radius;;1;3;dmg-ltng;;1;9;Attack Speed %;;20;20;Dmg % to Demons;;10;25;att-demon;;10;25;;;;;;;;;;;;;;;;;;;;
Dead Rogue`s Blade;1;1;Scimitar;res-pois;;15;15;Damage %;;40;60;Light Radius;;1;1;dmg-pois;50;25;25;Attack Speed %;;10;10;dmg-ac;;-5;-10;Openwounds;;10;10;bloody;;1;3;;;;;;;;;;;;;;;;
Rogue`s Bow;9;6;Short Bow;Damage %;;75;75;Attack Speed %;;10;10;dmg-ac;;-1;-5;Openwounds;;10;10;bloody;;1;3;Other Skill;12;3;3;Reduce Req %;;-50;-50;;;;;;;;;;;;;;;;;;;;
Dusk`s Shroud;11;7;Quilted Armor;Sockets;;2;2;Light Radius;;-2;-2;Armor vs Missile;;25;25;all-stats;;3;5;All Resists;;5;10;Faster Movement %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;
Dusk`s Cord;10;8;Sash;Light Radius;;-1;-1;Armor vs Missile;;15;15;all-stats;;1;3;All Resists;;1;5;Faster Movement %;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortunering;10;7;Ring;Reduce Dmg;;3;3;Lightning Thorns;;1;3;dmg-norm;;3;5;Gold Find %;;30;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fechmars Fire;10;7;Large Axe;Damage %;;80;100;Hit-Skill;36;75;1;res-fire;;30;50;Light Radius;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Venom Point Tip;10;7;Spear;Attack Rating;;35;75;dmg-min;;12;15;Dmg % to Demons;;50;75;Dmg % to Undead;;50;75;dmg-pois;75;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kalabar`s Bardiche;12;9;Bardiche;Other Skill;126;1;1;Damage %;;75;100;Attack Speed %;;25;25;Crushing Blow;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Blood Tapper;11;8;Axe;Lifesteal;;2;3;Strength;;10;10;Hitpoints;;15;15;Prevent Heal;;1;1;Damage %;;60;80;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Bender;11;9;Mace;Strength;;10;15;Damage %;;60;80;Crushing Blow;;20;20;Armor Class;;50;75;reduce-ac;;5;5;dmg-ac;;-1;-5;;;;;;;;;;;;;;;;;;;;;;;;
Frost Lord;11;8;Long Staff;dmg-cold;;6;9;res-cold;;35;35;Mana Points;;10;15;Damage %;;30;40;reduce-ac;;25;25;Hit-Skill;39;25;2;;;;;;;;;;;;;;;;;;;;;;;;
Repeater;11;8;Light Crossbow;Damage %;;70;90;Attack Speed %;;45;45;Dexterity;;10;10;Deadly Strike;;10;10;Attack Rating;;20;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lightsworn Defender;12;10;Small Shield;Armor Class %;;60;60;block;;24;24;block2;;24;24;Light Radius;;2;2;dmg-ltng;;1;9;Lightning Thorns;;1;3;;;;;Extra Durability;;10;15;;;;;;;;;;;;;;;;
Rogue`s Fists;11;9;Heavy Gloves;Attack Speed %;;15;15;Hit Recovery %;;15;15;Armor vs Missile;;15;15;All Resists;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enchanter`s Sleeves;11;9;Heavy Gloves;Armor Class %;;10;15;all-stats;;1;5;Mana per Kill;;1;2;Mana Points;;10;15;cold-thorns;;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Longfinger;11;9;Heavy Gloves;Armor Class %;;20;25;Gold Find %;;10;20;Magic Find %;;10;25;Reduce Dmg;;3;3;Light Radius;;-2;-2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trickster`s Warp;11;8;Heavy Boots;Faster Movement %;;15;15;Hit Recovery %;;10;10;Armor vs Missile;;20;20;Gethit-Skill;54;5;1;regen-stam;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Demons Skins;11;8;Heavy Boots;Faster Movement %;;10;10;Armor Class;;15;25;Armor Class %;;25;40;Reduce Dmg;;2;3;abs-fire;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lut Gholein Vile;12;9;Saber;dmg-mag;;5;10;Dmg % to Undead;;50;50;att-undead;;50;75;Damage %;;60;80;res-pois-len;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bloodraven`s Talisman;14;11;Amulet;dmg-fire;;4;8;res-fire-max;;5;5;res-fire;;25;35;Dmg % to Undead;;50;75;att-undead;;50;75;Faster Movement %;;15;15;;;;;;;;;;;;;;;;;;;;;;;;
Rogue`s Offhand;13;10;Dirk;Dexterity;;5;10;Damage %;;50;65;Attack Speed %;;20;20;Ignore Armor;;1;1;Faster Movement %;;5;5;Deadly Strike;;5;5;;;;;;;;;;;;;;;;;;;;;;;;
Thunder`s Call;14;11;Two-Handed Sword;Attack Speed %;;15;15;res-ltng;;20;20;Light Radius;;1;1;dmg-ltng;;3;30;Damage %;;70;90;Lifesteal;;2;3;;;;;;;;;;;;;;;;;;;;;;;;
Pseiden`s Call;15;11;Trident;Slow Target %;;10;10;Strength;;15;15;Armor Class;;50;50;Attack Speed %;;20;20;Damage %;;30;30;dmg-cold;;12;24;;;;;;;;;;;;;;;;;;;;;;;;
Gholein Vipers;15;11;Leather Armor;Armor Class;;25;25;Hit Recovery %;;10;10;Faster Movement %;;10;10;Armor vs Missile;;50;75;Hit-Skill;Venom;2;1;res-pois-len;;25;25;;;;;;;;;;;;;;;;;;;;;;;;
One Eyed Cord;15;11;Light Belt;dmg-mag;;5;5;att/lvl;2;;;Armor Class;;10;10;Armor Class %;;20;20;Replenish Life;;3;3;red-mag;;1;3;;;;;;;;;;;;;;;;;;;;;;;;
Meat Cleaver;19;16;Falchion;Attack Speed %;;20;20;Damage %;;10;20;dmg;;15;30;Strength;;10;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Mages Demise;21;18;Crystal Sword;Attack Speed %;;10;10;Damage %;;5;15;Sockets;;1;1;dmg-mag;;5;10;dmg-cold;100;4;8;dmg-fire;;4;8;dmg-ltng;;1;10;Deadly Strike;;4;12;Extra Durability;;25;25;;;;;;;;;;;;
Cold String;17;12;Hunter’s Bow;Attack Speed %;;40;40;dmg-min;;1;3;dmg-max;;3;6;Attack Rating;;25;50;Damage %;;45;45;dmg-cold;150;3;9;;;;;;;;;;;;;;;;;;;;;;;;
Blood Protector;15;11;Large Shield;block;;10;15;block2;;10;10;Armor Class;;30;30;Armor Class %;;20;60;Lifesteal;;2;4;Replenish Life;;2;4;;;;;;;;;;;;;;;;;;;;;;;;
Energy Protector;15;11;Large Shield;block;;10;10;block2;;15;15;Armor Class;;25;25;Armor Class %;;50;50;dmg-to-mana;;25;25;Mana %;;5;5;;;;;;;;;;;;;;;;;;;;;;;;
Act1 Guillotine;17;12;Broad Axe;Strength;;20;20;Attack Speed %;;50;50;dmg-min;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Skeleton`s Finger;18;13;Yew Wand;Cast Speed %;;15;15;Mana Points;;10;15;Class Skill;66;1;1;Class Skill;70;1;5;Class Skill;69;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Crude Pole;17;12;Voulge;Damage %;;70;90;Attack Rating;;35;45;Extra Durability;;10;40;reduce-ac;;25;25;Armor Class;;-10;-10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Steel Face;19;15;Helm;Armor Class %;;10;10;Armor Class;;15;15;Reduce Dmg;;3;5;reduce-ac;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Magic`s Mourn;5;4;Cap;Hitpoints;;10;10;Mana Points;;10;10;Armor Class;;10;10;all-stats;;2;2;Cast Speed %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Merillion;18;14;Hard Leather;Armor Class;;20;20;Mana Points;;20;20;red-mag;;3;3;Hitpoints;;10;10;Stamina Points;;10;10;Reduce Req %;;-20;-20;Mana per Kill;;1;2;;;;;;;;;;;;;;;;;;;;
Defender`s Links;17;12;Ring Mail;Armor Class %;;50;50;Armor vs Melee;;75;125;Armor Class;;10;10;Vitality;;5;10;Hit Recovery %;;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Limb Sever;18;13;Double Axe;Dmg % to Demons;;50;50;att-demon;;25;25;Attack Speed %;;20;20;Hitpoints;;20;20;Damage %;;30;50;Life per Kill;;2;3;;;;;;;;;;;;;;;;;;;;;;;;
Lobotomizer;25;18;Military Pick;Damage %;;80;100;Attack Rating;;25;50;Openwounds;;15;15;Attack Speed %;;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
White Oak;28;20;War Axe;Damage %;;75;150;res-ltng;;25;25;Attack Rating;;50;50;Attack Speed %;;25;25;dmg-ltng;;3;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Phase Axe;24;18;Battle Axe;ethereal;;1;1;Attack Speed %;;40;40;Damage %;;75;100;Deadly Strike;;10;15;Indestructable;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carvers Bane;28;21;Great Axe;dmg-min;;10;10;Damage %;;75;100;Faster Movement %;;15;15;demon-heal;;10;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Stand`s Chance;34;25;Giant Axe;Strength;;15;25;Damage %;;100;125;aura;99;1;1;Reduce Req %;;10;10;mag%/lvl;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Undead Mage`s Wand;23;17;Bone Wand;Necro Skills;;1;1;Mana Points;;25;35;Cast Speed %;;10;10;Class Skill;72;1;2;Class Skill;69;1;1;Class Skill;80;2;3;;;;;;;;;;;;;;;;;;;;;;;;
Dead Footsoldiers`s Call;33;25;Grim Wand;Necro Skills;;2;2;Mana Points;;30;40;Cast Speed %;;20;20;Class Skill;87;1;2;Class Skill;69;1;1;Class Skill;70;2;3;;;;;;;;;;;;;;;;;;;;;;;;
Ordos Justice;20;15;Grand Scepter;Damage %;;60;90;Dmg % to Undead;;30;30;Thorns;;5;10;Paladin Skills;;1;1;Class Skill;103;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Holy Fire;27;20;War Scepter;dmg-fire;;10;10;Damage %;;90;110;Class Skill;102;1;3;abs-fire;;3;5;Attack Speed %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stone Star;18;13;Morning Star;Damage %;;120;120;Attack Bonus %;;50;50;Attack Speed %;;10;10;Armor Class;;35;35;Hit Recovery %;;15;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Generals El Sol Dol Lo;25;18;flail;dmg-min;;20;20;Slow Target %;;15;15;Armor Class;;15;15;Lifesteal;;5;5;Damage %;;60;60;Attack Speed %;;25;25;;;;;;;;;;;;;;;;;;;;;;;;
Rockbreaker;32;24;War Hammer;Attack Rating;;125;125;Damage %;;125;125;dmg;;15;25;Strength;;15;15;Vitality;;-10;-10;Energy;;-5;-5;;;;;;;;;;;;;;;;;;;;;;;;
Skulls of Kings;28;21;maul;Damage %;;50;50;Crushing Blow;;50;50;Deadly Strike;;50;50;Lifesteal;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Splinter maul;34;25;Great maul;Attack Speed %;;50;50;Openwounds;;50;50;Damage %;;50;50;Faster Movement %;;25;25;Strength;;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Paladin Sabre;20;15;Broad Sword;Attack Speed %;;60;60;Attack Rating;;60;60;Hit Recovery %;;60;60;Damage %;;5;10;dmg-mag;;5;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Duels Edge;26;19;Long Sword;Attack Speed %;;20;20;Attack Rating;;20;20;Hit Recovery %;;20;20;Damage %;;20;20;Reduce Dmg;;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Caster Fixation;34;25;War Sword;All Skills;;2;2;Hit Recovery %;;20;20;All Resists;;20;20;Cast Speed %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Necrotic Woe;27;20;Giant Sword;Damage %;;120;180;kill-skill;Poison Nova;20;5;Other Skill;91;1;2;All Skills;;1;2;Reduce Req %;;-40;-40;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Double Edged;31;23;Bastard Sword;Damage %;;100;150;Prevent Heal;;1;1;Attack Rating;;250;250;Strength;;25;25;Thorns;;15;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Barbarian`s Trainer;34;25;Great Sword;Damage %;;120;150;Reduce Dmg;;5;5;red-mag;;5;5;Strength;;15;25;Vitality;;5;15;Attack Rating;;50;60;;;;;;;;;;;;;;;;;;;;;;;;
Vicious;23;17;Kris;Attack Rating;;150;150;Dexterity;;20;25;Deadly Strike;;20;25;dmg-ac;;-10;-15;dmg-min;;15;15;dmg-max;;35;35;;;;;;;;;;;;;;;;;;;;;;;;
Alpha Wolf Fang;30;22;Blade;Cast Speed %;;25;25;Mana Points;;25;50;res-cold;;25;35;All Resists;;10;10;Druid Skills;;1;2;Energy;;5;5;;;;;;;;;;;;;;;;;;;;;;;;
Camp Defender;20;15;Brandistock;Light Radius;;1;2;Strength;;10;10;Dexterity;;10;10;Hitpoints;;30;30;Damage %;;50;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cold Plains Lance;26;19;Spetum;Damage %;;30;45;dmg-cold;75;20;20;res-cold;;25;35;Attack Speed %;;30;30;cold-thorns;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;
