index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12;imagename
Snakecord;14;10;Light Belt;dmg-pois;75;40;40;res-pois;;25;25;Armor Class;;10;10;Armor Class %;;20;30;Replenish Life;;5;5;res-pois-len;;50;50;;;;;;;;;;;;;;;;;;;;;;;;;snakecord
Stoutnail;6;4;Spiked Club;Thorns;;3;10;Damage %;;100;100;Vitality;;7;7;red-mag;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;stoutnail
Snowclash;45;39;Battle Belt;Gethit-Skill;59;5;0;abs-cold;;15;15;res-cold-max;;15;15;dmg-cold;75;13;21;Armor Class %;;130;170;Class Skill;59;2;2;Class Skill;55;3;3;Class Skill;60;2;2;;;;;;;;;;;;;;;;;snowclash
String of Ears;32;25;Demonhide Sash;red-mag;;10;15;Reduce Dmg %;;10;15;Lifesteal;;6;8;Armor Class %;;150;180;Armor Class;;15;15;Extra Durability;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;soe
Souldrain;76;68;vambraces;Armor Class %;;90;120;Manasteal;;4;7;Lifesteal;;4;7;Hit-Skill;Weaken;8;3;dmg-ac;;-50;-50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;souldrain
Soulfeast Tine;40;31;War Fork;Reduce Req %;;-20;-20;Lifesteal;;7;7;Manasteal;;7;7;stamdrain;;20;20;Damage %;;150;190;Attack Rating;;150;250;Extra Durability;;15;15;;;;;;;;;;;;;;;;;;;;;soulfeasttine
Soulflay;23;16;Claymore;Manasteal;;4;10;Lifesteal;;4;4;Damage %;;70;100;All Resists;;5;5;Attack Speed %;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;soulflay
Soul Harvest;23;16;Scythe;Openwounds;;30;30;Attack Rating;;45;45;All Resists;;20;20;Damage %;;50;90;Manasteal;;10;10;Energy;;5;5;;;;;;;;;;;;;;;;;;;;;;;;;soulharvest
Sparking Mail;20;14;Chain Mail;Armor Class %;;75;85;dmg-ltng;;1;20;Lightning Thorns;;10;14;res-ltng;;30;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;sparkingmail
Spectral Shard;30;22;Blade;Cast Speed %;;50;50;Mana Points;;50;50;Attack Rating;;55;55;All Resists;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;spectralshard
Spellsteel;43;34;Bearded Axe;Reduce Req %;;-60;-60;Mana Points;;100;100;red-mag;;12;15;Cast Speed %;;10;10;Damage %;;165;165;regen-mana;;25;25;Charges;54;20;1;Charges;87;30;3;Charges;101;100;10;Charges;225;60;12;;;;;;;;;spellsteel
Spike Thorn;72;65;blade barrier;Armor Class %;;120;150;thorns/lvl;11;;;Extra Durability;;250;250;Hit Recovery %;;30;30;Reduce Dmg %;;15;20;Sockets;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;spikethorn
Spineripper;35;28;Poignard;Ignore Armor;;1;1;Lifesteal;;8;8;Prevent Heal;;1;1;Attack Speed %;;15;15;Dexterity;;10;10;Damage %;;200;240;dmg-norm;;15;27;Necro Skills;;1;1;;;;;;;;;;;;;;;;;spineripper
Spire of Honor;43;34;Lance;Attack Bonus %;;25;25;Light Radius;;3;3;Replenish Life;;20;20;Hit Recovery %;;20;20;dmg-norm;;20;40;dmg-dem/lvl;12;;;Damage %;;150;200;Class Skill Tab;9;3;3;Armor Class %;;25;25;;;;;;;;;;;;;spireofhonor
Spiritforge;40;31;Linked Mail;Light Radius;;4;4;hp/lvl;10;;;dmg-fire;;20;65;res-fire;;5;5;Armor Class %;;120;160;Strength;;15;15;Sockets;2;;;;;;;;;;;;;;;;;;;;;;;spiritforge
Spiritkeeper;69;62;earth spirit;Armor Class %;;170;190;Hit Recovery %;;20;20;abs-ltng;;9;14;res-fire;;30;40;abs-cold%;;15;25;res-pois-max;;10;10;Druid Skills;;1;2;;;;;;;;;;;;;;;;;;;;;spiritkeeper
The Spirit Shroud;32;25;Ghost Armor;Cannot be Frozen;;1;1;All Skills;;1;1;red-mag;;7;11;Replenish Life;;10;10;Armor Class %;;150;150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;spiritshroud
Spirit Ward;70;63;ward;Armor Class %;;130;180;abs-cold;;6;11;All Resists;;30;40;Faster Block %;;20;30;Increased Block %;;25;25;Gethit-Skill;Fade;5;8;;;;;;;;;;;;;;;;;;;;;;;;;spiritward
Stormshield;71;68;Monarch;ac/lvl;30;;;Reduce Dmg %;;35;35;Strength;;30;30;Indestructable;;1;1;Increased Block %;;35;35;res-ltng;;25;25;Faster Block %;;25;25;res-cold;;60;60;Lightning Thorns;;10;10;;;;;;;;;;;;;ss
Stealskull;40;31;Casque;Manasteal;;5;5;Lifesteal;;5;5;Hit Recovery %;;10;10;Attack Speed %;;10;10;Armor Class %;;200;240;Magic Find %;;30;50;;;;;;;;;;;;;;;;;;;;;;;;;stealskull
Steel Carapace;68;61;shadow plate;Armor Class %;;190;220;Hit Recovery %;;20;20;Reduce Dmg;;9;14;res-cold;;40;60;regen-mana;;10;15;rep-dur;5;;;Gethit-Skill;Iron Maiden;8;6;;;;;;;;;;;;;;;;;;;;;steelcarapace
Steelclash;20;14;Kite Shield;Faster Block %;;25;25;Paladin Skills;;1;1;Reduce Dmg;;3;3;Light Radius;;3;3;Armor Class %;;60;100;Increased Block %;;20;20;All Resists;;15;15;Armor Class;;20;20;Extra Durability;;15;20;;;;;;;;;;;;;steelclash
Steeldriver;34;25;Great Maul;Reduce Req %;;-50;-50;Attack Speed %;;40;40;regen-stam;;25;25;Damage %;;150;250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;steeldriver
Steelgoad;16;12;Voulge;howl;;96;96;Deadly Strike;;30;30;Attack Rating;;30;30;All Resists;;5;5;Damage %;;60;80;Extra Durability;;20;40;;;;;;;;;;;;;;;;;;;;;;;;;steelgoad
Steelpillar;71;64;war pike;Damage %;;210;260;Attack Speed %;;25;25;reduce-ac;;20;20;Armor Class %;;50;80;Indestructable;;1;1;Crushing Blow;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;steelpillar
Steelrend;72;65;ogre gauntlets;Armor Class;;170;210;Strength;;15;20;Damage %;;30;60;Crushing Blow;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;steelrend
Steelshade;65;57;armet;Armor Class %;;100;130;abs-fire;;5;11;Manasteal;;4;8;Replenish Life;;10;18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;steelshade
Stone Crusher;70;63;legendary mallet;Damage %;;280;320;Strength;;20;30;Crushing Blow;;40;40;reduce-ac;;25;25;dmg-ac;;-100;-100;dmg;;10;30;;;;;;;;;;;;;;;;;;;;;;;;;stonecrusher
Stoneraven;67;59;matriarchal spear;Damage %;;230;280;dmg-mag;;101;187;All Resists;;30;50;Armor Class;;400;600;Class Skill Tab;2;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;stoneraven
Stormchaser;40;31;Scutum;dmg-ltng;;1;60;Faster Block %;;20;20;half-freeze;;1;1;res-ltng;;50;50;Attack Rating;;150;150;Armor Class %;;160;220;Increased Block %;;10;10;Gethit-Skill;59;4;6;Gethit-Skill;245;4;5;;;;;;;;;;;;;stormchaser
Stormeye;27;20;War Scepter;dmg-ltng;;1;6;dmg-cold;75;3;5;Replenish Life;;10;10;Damage %;;80;120;Class Skill;110;3;5;Class Skill;118;3;3;Class Skill;121;1;1;;;;;;;;;;;;;;;;;;;;;stormeye
Stormguild;15;11;Large Shield;red-mag;;1;1;res-ltng;;25;25;Armor Class;;30;30;dmg-ltng;;1;6;Armor Class %;;50;60;Faster Block %;;30;30;Lightning Thorns;;3;3;Extra Durability;;10;15;;;;;;;;;;;;;;;;;stormguild
Stormlash;80;76;scourge;Damage %;;240;300;Attack Speed %;;30;30;Hit-Skill;Static Field;15;10;Hit-Skill;Tornado;20;18;dmg-ltng;;1;473;Lightning Thorns;;30;30;Crushing Blow;;33;33;abs-ltng;;3;9;;;;;;;;;;;;;;;;;stormlash
Stormrider;45;38;Tabar;Hit-Skill;53;5;10;Hit-Skill;38;10;0;dmg-ltng;;1;200;dmg-norm;;35;75;Damage %;;100;100;Extra Durability;;50;50;Lightning Thorns;;15;15;Gethit-Skill;38;15;5;;;;;;;;;;;;;;;;;stormrider
Stormspike;45;38;Stilleto;dmg-ltng;;1;120;Lightning Thorns;;20;20;Gethit-Skill;38;25;3;Damage %;;150;150;res-ltng/lvl;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Stormspike
Stormspire;72;65;Giant Thresher;res-ltng;;50;50;Gethit-Skill;53;5;5;Damage %;;150;250;Strength;;10;10;Gethit-Skill;38;2;0;Attack Speed %;;30;30;Indestructable;;1;1;dmg-ltng;;1;237;Lightning Thorns;;27;27;*enr;;-10;-10;;;;;;;;;stormspire
Stormstrike;30;22;Short Battle Bow;dmg-ltng;;1;30;Strength;;8;8;Attack Rating;;28;28;pierce;;25;25;res-ltng;;25;25;Damage %;;70;90;;;;;;;;;;;;;;;;;;;;;;;;;stormstrike
Suicide Branch;38;29;Burnt Wand;Thorns;;25;25;Cast Speed %;;50;50;All Resists;;10;10;Mana %;;10;10;Hitpoints;;40;40;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;suicidebranch
Sureshrill Frost;43;34;Flanged Mace;dmg-cold;125;63;112;Cannot be Frozen;;1;1;Damage %;;150;180;dmg-norm;;5;10;Freeze Duration;;3;3;Charges;64;50;9;;;;;;;;;;;;;;;;;;;;;;;;;sureshrill
Swordback Hold;17;13;Spiked Shield;Thorns;;5;5;Faster Block %;;20;20;Openwounds;;50;50;bloody;;3;5;Armor Class %;;30;60;Thorns;;5;5;Armor Class;;10;10;;;;;;;;;;;;;;;;;;;;;swordbackhold
Swordguard;51;44;Executioner Sword;Reduce Req %;;-50;-50;ac/lvl;40;;;All Resists;;10;20;Armor vs Missile;;100;100;dmg-to-mana;;30;30;Damage %;;170;180;Armor vs Melee;;200;200;Hit Recovery %;;20;20;Faster Block %;;20;20;;;;;;;;;;;;;swordguard
Tarnhelm;17;13;Skull Cap;Gold Find %;;75;75;Magic Find %;;25;50;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;tarnhelm
Tearhaunch;34;25;Plate Boots;Armor Class;;35;35;Strength;;5;5;Dexterity;;5;5;Faster Movement %;;20;20;All Resists;;10;10;Armor Class %;;60;80;Class Skill;115;2;2;;;;;;;;;;;;;;;;;;;;;tearhaunch
Templar's Might;76;68;sacred armor;Armor Class %;;170;220;Hit Recovery %;;20;20;Armor vs Missile;;250;300;Stamina Points;;40;50;Strength;;10;15;Vitality;;10;15;Class Skill Tab;10;1;2;;;;;;;;;;;;;;;;;;;;;templarsmight
Thudergod's Vigor;51;43;War Belt;Gethit-Skill;121;5;7;dmg-ltng;;1;50;res-ltng-max;;10;10;abs-ltng;;20;20;Armor Class %;;160;200;Vitality;;20;20;Strength;;20;20;Class Skill;34;3;3;Class Skill;35;3;3;;;;;;;;;;;;;tgods
The Atlantian;46;39;Ancient Sword;Extra Durability;;100;100;Armor Class;;75;75;Strength;;16;16;Dexterity;;12;12;Vitality;;8;8;Damage %;;200;250;Paladin Skills;;2;2;Attack Bonus %;;50;50;;;;;;;;;;;;;;;;;atlantian
The Centurion;16;12;Hard Leather;Armor Class;;30;30;Attack Rating;;50;50;Reduce Dmg;;2;2;Hitpoints;;15;15;Mana Points;;15;15;Stamina Points;;15;15;Replenish Life;;5;5;stamdrain;;25;25;;;;;;;;;;;;;;;;;thecenturion
The Chieftan;23;16;Battle Axe;Damage %;;100;100;All Resists;;10;20;Mana per Kill;;6;6;Attack Speed %;;20;20;dmg-ltng;;1;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;thechieftan
The Diggler;13;9;Dirk;Dexterity;;10;10;Damage %;;50;50;Attack Speed %;;30;30;res-cold;;25;25;res-fire;;25;25;Ignore Armor;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;thediggler
The Dragon Chang;9;7;Spear;Attack Rating;;35;35;dmg-min;;10;10;Light Radius;;2;2;Dmg % to Undead;;100;100;dmg-fire;;3;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;thedragonchang
The Generals Tan Do Li Ga;25;18;Flail;dmg-min;;1;1;dmg-max;;20;20;Slow Target %;;50;50;Armor Class;;25;25;Manasteal;;5;5;Damage %;;50;60;Attack Speed %;;20;20;;;;;;;;;;;;;;;;;;;;;thegeneralstandoliga
The Gnasher;6;4;Hand Axe;Strength;;8;8;Openwounds;;50;50;Crushing Blow;;20;20;Damage %;;60;70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;thegnasher
The Hand of Broc;6;4;Leather Gloves;Manasteal;;3;3;Lifesteal;;3;3;res-pois;;10;10;Mana Points;;20;20;Armor Class;;10;10;Armor Class %;;10;20;;;;;;;;;;;;;;;;;;;;;;;;;thehandofbroc
The Iron Jang Bong;33;25;War Staff;Armor Class;;30;30;Cast Speed %;;20;20;Damage %;;100;100;Attack Bonus %;;50;50;Class Skill;48;2;2;Class Skill;46;2;2;Class Skill;44;3;3;Sorceress Skills;;2;2;;;;;;;;;;;;;;;;;theironjangbong
The Jade Tan Do;23;16;Kris;Attack Rating;;100;150;Cannot be Frozen;;1;1;dmg-pois;100;460;460;res-pois;;95;95;res-pois-max;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;thejadetando
The Patriarch;34;25;Great Sword;Reduce Dmg;;3;3;red-mag;;3;3;Blind Target;;1;1;Gold Find %;;100;100;Damage %;;100;120;Strength;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;thepatriarch
The Salamander;25;18;Battle Staff;dmg-fire;;15;32;res-fire;;30;30;Class Skill;51;1;1;Class Skill;47;2;2;Class Skill;37;3;3;fireskill;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;thesalamander
The Tannr Gorerod;32;24;Pike;fire-min;;23;23;fire-max;;54;54;res-fire-max;;15;15;Hitpoints;;30;30;Attack Rating;;60;60;Light Radius;;3;3;res-fire;;15;15;Damage %;;80;100;;;;;;;;;;;;;;;;;thetannrgorerod
The Ward;31;23;Gothic Shield;Armor Class;;40;40;red-mag;;2;2;Strength;;10;10;Faster Block %;;10;10;Armor Class %;;100;100;All Resists;;30;50;;;;;;;;;;;;;;;;;;;;;;;;;theward
Tiamat's Rebuke;43;33;Dragon Shield;dmg-cold;150;27;53;dmg-fire;;35;95;dmg-ltng;;1;120;All Resists;;25;35;Armor Class %;;140;200;Gethit-Skill;44;5;9;Gethit-Skill;48;5;7;Gethit-Skill;62;3;6;Extra Durability;;40;40;;;;;;;;;;;;;tiamats
Titan's Revenge;46;39;Ceremonial Javelin;Amazon Skills;;2;2;Class Skill Tab;2;2;2;Damage %;;150;200;Faster Movement %;;30;30;rep-quant;30;;;Strength;;20;20;Dexterity;;20;20;Lifesteal;;5;9;dmg-norm;;25;50;stack;;60;60;;;;;;;;;titans
Todesfaelle Flamme;50;43;Zweihander;dmg-fire;;50;200;res-fire;;40;40;abs-fire;;10;10;Hit-Skill;47;10;6;Damage %;;120;160;Charges;52;45;10;Charges;51;20;10;;;;;;;;;;;;;;;;;;;;;todesfaelleflamme
Tomb Reaver;80;78;cryptic axe;Attack Speed %;;60;60;Light Radius;;4;4;Damage %;;200;280;Dmg % to Undead;;150;230;Magic Find %;;50;80;All Resists;;30;50;att-undead;;250;350;reanimate;1;10;10;Life per Kill;;10;14;Sockets;;1;3;;;;;;;;;tombreaver
Toothrow;52;44;Sharktooth Armor;Thorns;;20;40;Armor Class;;40;60;Strength;;10;10;Openwounds;;40;40;res-fire;;15;15;Armor Class %;;160;220;Extra Durability;;15;15;;;;;;;;;;;;;;;;;;;;;toothrow
Hellfire Torch;102;69;charm;randclassskill;;0;6;all-stats;;10;20;All Resists;;10;20;Light Radius;;8;8;Hit-Skill;225;5;10;Charges;Hydra;10;30;;;;;;;;;;;;;;;;;;;;;;;;;hellfiretorch
Treads of Cthon;17;13;Chain Boots;Faster Movement %;;30;30;Armor vs Missile;;50;50;stamdrain;;50;50;Hitpoints;;10;10;Armor Class;;12;12;Armor Class %;;30;40;;;;;;;;;;;;;;;;;;;;;;;;;treadsofcthon
Thunderstroke;71;64;matriarchal javelin;Damage %;;150;200;dmg-ltng;;1;511;Hit-Skill;Lightning;20;14;Attack Speed %;;15;15;pierce-ltng;;15;15;Class Skill;Lightning Bolt;3;3;Class Skill Tab;2;2;4;;;;;;;;;;;;;;;;;;;;;tstroke
Twitchthroe;19;14;Studded Leather;Attack Speed %;;20;20;Dexterity;;10;10;Faster Block %;;25;25;Armor Class;;25;25;Strength;;10;10;Hit Recovery %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;twitchthroe
Tyrael's Might;80;78;sacred armor;Reduce Req %;;-100;-100;Indestructable;;1;1;Armor Class %;;120;150;Slain Monsters Rest in Peace;;1;1;Dmg % to Demons;;50;100;Cannot be Frozen;;1;1;Faster Movement %;;20;20;All Resists;;20;30;Strength;;20;30;;;;;;;;;;;;;tyraels
Umbral Disk;10;8;Small Shield;Blind Target;;1;1;Dexterity;;10;10;Armor Class;;30;30;Hitpoints;;20;20;Light Radius;;-2;-2;Armor Class %;;40;50;Faster Block %;;30;30;Extra Durability;;10;15;;;;;;;;;;;;;;;;;umbraldisk
Umes Lament;33;25;Grim Wand;Necro Skills;;2;2;Mana Points;;40;40;Cast Speed %;;20;20;howl;;64;64;Class Skill;77;3;3;Class Skill;87;2;2;;;;;;;;;;;;;;;;;;;;;;;;;umes
Undead Crown;34;25;Crown;Lifesteal;;5;5;Armor Class;;40;40;res-pois;;50;50;half-freeze;;1;1;Armor Class %;;30;60;Dmg % to Undead;;50;50;att-undead;;50;100;Class Skill;69;3;3;;;;;;;;;;;;;;;;;undeadcrown
Vampiregaze;45;38;Grim Helm;Manasteal;;6;8;Lifesteal;;6;8;stamdrain;;15;15;Reduce Dmg %;;15;20;red-mag;;10;15;Armor Class %;;100;100;dmg-cold;100;6;22;;;;;;;;;;;;;;;;;;;;;vampiregaze
Veil of Steel;71;68;Spired Helm;All Resists;;50;50;Armor Class %;;60;60;Strength;;15;15;Vitality;;15;15;Light Radius;;-4;-4;Extra Durability;;20;20;Armor Class;;140;140;*mana;;-30;-30;;;;;;;;;;;;;;;;;veilofsteel
Venomsward;24;17;Breast Plate;res-pois-max;;15;15;res-pois-len;;50;50;res-pois;;90;90;Light Radius;;2;2;Armor Class %;;60;100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;venomsward
Venom Grip;32;25;Demonhide Gloves;res-pois;;30;30;res-pois-max;;5;5;dmg-pois;100;153;153;Crushing Blow;;5;5;Lifesteal;;5;5;Armor Class;;15;25;Armor Class %;;130;160;;;;;;;;;;;;;;;;;;;;;venomg
Victors Silk;33;25;AncientArmor;Manasteal;;5;5;All Skills;;1;1;Light Radius;;2;2;Armor Class %;;100;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;victorssilk
The Vile Husk;48;41;Tusk Sword;Hit-Skill;66;6;1;dmg-und/lvl;60;;;res-pois;;50;50;dmg-pois;150;426;426;Damage %;;150;200;att-und/lvl;20;;;;;;;;;;;;;;;;;;;;;;;;;;;vilehusk
Viperfork;73;66;war fork;Damage %;;190;240;dmg-pois;250;333;333;Attack Speed %;;50;50;Attack Rating;;200;250;Hit-Skill;Poison Explosion;15;9;res-pois;;30;50;;;;;;;;;;;;;;;;;;;;;;;;;viperfork
Visceratuant;32;25;Defender;Sorceress Skills;;1;1;Increased Block %;;30;30;Faster Block %;;30;30;Armor Class %;;100;150;Lightning Thorns;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;visc
Skin of the Vipermagi;32;25;SerpentSkin Armor;Armor Class %;;120;120;All Resists;;20;35;Cast Speed %;;30;30;red-mag;;9;13;All Skills;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vmagi
Valkiry Wing;48;41;Winged Helm;Armor Class %;;150;200;Faster Movement %;;20;20;Hit Recovery %;;20;20;Amazon Skills;;1;2;Mana per Kill;;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;valk
Wall of the Eyeless;24;17;Bone Shield;Mana per Kill;;5;5;Manasteal;;3;3;Cast Speed %;;20;20;res-pois;;20;20;Armor Class %;;30;40;Armor Class;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;walloftheeyeless
Warlord's Trust;40;31;Military Axe;Armor Class;;75;75;Replenish Life;;20;20;vit/lvl;4;;;All Resists;;10;10;rep-dur;25;;;Damage %;;175;175;;;;;;;;;;;;;;;;;;;;;;;;;warlords
Warpspear;43;34;Gothic Staff;Sorceress Skills;;3;3;Ignore Armor;;1;1;Class Skill;54;3;3;Class Skill;43;3;3;Class Skill;58;3;3;Armor vs Missile;;250;250;*hit-skill;54;50;1;*gethit-skill;54;25;1;;;;;;;;;;;;;;;;;warpspear
Warshrike;77;69;winged knife;Damage %;;200;250;pierce;;50;50;Attack Speed %;;30;30;Deadly Strike;;50;50;rep-quant;30;;;Hit-Skill;Nova;25;9;;;;;;;;;;;;;;;;;;;;;;;;;warshrike
Wartraveler;46;39;Battle Boots;Vitality;;10;10;Strength;;10;10;Magic Find %;;30;50;Extra Durability;;30;30;Faster Movement %;;25;25;Armor Class %;;150;190;dmg-norm;;15;25;Thorns;;5;10;stamdrain;;40;40;;;;;;;;;;;;;wartravs
Whichwild String;43;34;Short Siege Bow;Hit-Skill;66;2;5;All Resists;;40;40;deadly/lvl;8;;;Damage %;;150;170;magicarrow;;20;20;Sockets;2;;;;;;;;;;;;;;;;;;;;;;;;;;;whichwildstring
Widowmaker;68;60;ward bow;Damage %;;150;200;Deadly Strike;;33;33;Ignore Armor;;1;1;magicarrow;;11;11;Other Skill;Guided Arrow;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;widowmaker
Windforce;74;68;Hydra Bow;Dexterity;;5;5;dmg/lvl;25;;;regen-stam;;30;30;Manasteal;;6;8;Knockback;;1;1;Damage %;;250;250;Attack Speed %;;20;20;Strength;;10;10;;;;;;;;;;;;;;;;;windforce
Windhammer;70;63;ogre maul;Damage %;;180;230;Crushing Blow;;50;50;Attack Speed %;;60;60;Hit-Skill;Twister;33;22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;windhammer
Witherstring;15;11;Hunter’s Bow;Attack Speed %;;30;30;dmg-min;;1;1;dmg-max;;3;3;Attack Rating;;50;50;magicarrow;;3;3;Damage %;;40;50;;;;;;;;;;;;;;;;;;;;;;;;;witherstring
Wizendraw;31;23;Long Battle Bow;magicarrow;;5;5;Mana Points;;30;30;Attack Speed %;;20;20;res-cold;;26;26;Attack Rating;;50;100;Damage %;;70;80;Energy;;15;15;pierce-cold;;20;35;;;;;;;;;;;;;;;;;wizendraw
Wizardspike;64;56;Bone Knife;mana/lvl;16;;;regen-mana;;15;15;Mana %;;15;15;All Resists;;75;75;Indestructable;;1;1;Cast Speed %;;50;50;;;;;;;;;;;;;;;;;;;;;;;;;wizspike
Woestave;33;25;Halberd;Slow Target %;;50;50;Openwounds;;50;50;Blind Target;;3;3;dmg-ac;;-50;-50;Freeze Duration;;1;1;Light Radius;;-3;-3;Prevent Heal;;1;1;Damage %;;20;40;*enr;;-30;-30;;;;;;;;;;;;;woestave
Wolfhowl;79;73;fury visor;Armor Class %;;120;150;Class Skill Tab;14;2;3;Strength;;8;15;Dexterity;;8;15;Vitality;;8;15;Other Skill;Wearwolf;3;6;Charges;Summon Fenris;18;15;Other Skill;Shape Shifting;3;6;Other Skill;Feral Rage;3;6;;;;;;;;;;;;;wolfhowl
Wormskull;25;18;Bone Helm;Necro Skills;;1;1;Lifesteal;;5;5;Mana Points;;10;10;res-pois;;25;25;dmg-pois;200;102;102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;wormskull
Wraithflight;78;70;ghost glaive;Damage %;;150;190;rep-quant;40;;;Lifesteal;;9;13;Mana per Kill;;15;15;ethereal;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;wraithflight
Waterwalk;35;28;Sharkskin Boots;Armor vs Missile;;100;100;Faster Movement %;;20;20;Dexterity;;15;15;Armor Class %;;180;210;Hitpoints;;45;65;Stamina Points;;40;40;res-fire-max;;5;5;regen-stam;;50;50;;;;;;;;;;;;;;;;;ww
Zakarum's Hand;42;32;Rune Scepter;Manasteal;;8;8;Ignore Armor;;1;1;regen-mana;;10;10;regen-stam;;15;15;Hit-Skill;59;6;5;Damage %;;180;220;Attack Speed %;;30;30;Class Skill;114;2;2;Class Skill;118;2;2;;;;;;;;;;;;;zakhand
Nokozan Relic;12;9;Amulet;dmg-fire;;3;6;res-fire-max;;10;10;res-fire;;50;50;Light Radius;;3;3;Hit Recovery %;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Eye of Etlich;17;13;Amulet;Armor vs Missile;;10;40;Light Radius;;1;5;All Skills;;1;1;Lifesteal;;3;7;cold-min;;1;2;cold-max;;3;5;cold-len;;50;250;;;;;;;;;;;;;;;;;;;;;
The Mahim-Oak Curio;30;22;Amulet;Dexterity;;10;10;Strength;;10;10;Energy;;10;10;Vitality;;10;10;Armor Class;;10;10;Attack Bonus %;;10;10;All Resists;;10;10;Armor Class %;;10;10;;;;;;;;;;;;;;;;;
Nagelring;9;6;Ring;red-mag;;3;3;Thorns;;3;3;Attack Rating;;50;75;Magic Find %;;15;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Manald Heal;17;13;Ring;Manasteal;;4;7;Replenish Life;;5;8;Hitpoints;;20;20;regen-mana;;20;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Stone of Jordan;34;25;Ring;Mana Points;;20;20;Mana %;;25;25;ltng-min;;1;1;All Skills;;1;1;ltng-max;;12;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Amulet of the Viper;0;0;Amulet;Mana Points;;10;10;res-pois;;25;25;Hitpoints;;10;10;;;0;0;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;
KhalimFlail;0;0;Flail;ltng-min;;1;1;ltng-max;;20;20;Attack Speed %;;50;50;Attack Rating;;40;40;;;0;0;;;0;0;;;0;0;;;;;;;;;;;;;;;;;;;;;
SuperKhalimFlail;0;0;Flail;ltng-min;;1;1;ltng-max;;40;40;Attack Speed %;;50;50;Attack Rating;;40;40;Manasteal;;6;6;Lifesteal;;6;6;;;0;0;;;;;;;;;;;;;;;;;;;;;
Constricting Ring;83;87;Ring;All Resists;;100;100;Replenish Life;;-125;-125;Magic Find %;;100;100;res-all-max;;15;15;Armor Class;;-500;-500;Hitpoints;;-500;-500;;0;;;;;;;;;;;;;;;;;;;;;;;
Bul Katho's Wedding Band;61;54;Ring;hp/lvl;4;;;All Skills;;1;1;Lifesteal;;3;5;Stamina Points;;50;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Cat's Eye;54;46;Amulet;Faster Movement %;;30;30;Attack Speed %;;20;20;Armor Class;;100;100;Armor vs Missile;;100;100;Dexterity;;25;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
The Rising Sun;68;60;Amulet;abs-fire/lvl;6;;;Light Radius;;4;4;Gethit-Skill;56;2;0;dmg-fire;;24;48;fireskill;;2;2;Replenish Life;;10;10;;;;;;;;;;;;;;;;;;;;;;;;;
